Movie_Name,Storyline
The Idea of You,"Solène (Anne Hathaway), a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell (Nicholas Galitzine), the lead singer of August Moon, the hottest boy band on the planet. When Solène must step in to chaperone her teenage daughter's trip to the Coachella Music Festival after her ex bails at the last minute, she has a chance encounter with Hayes and there is an instant, undeniable spark. As they begin a whirlwind romance, it isn't long before Hayes' superstar status poses unavoidable challenges to their relationship, and Solène soon discovers that life in the glare of his spotlight might be more than she bargained for."
Monkey Man,"Inspired by the legend of Hanuman, an icon embodying strength and courage, Kid is an anonymous young man who ekes out a meager living in an underground fight club. There, night after night, he wears a gorilla mask and is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city's sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him. —Monkeyman movie"
Fallen,"Follows Luce, a young woman who is sent to Sword and Cross, a cult-like rehabilitation facility, where she must serve time for a crime she doesn't even remember committing."
Teacup,"Trapped on a farm in rural Georgia, a group of neighbors must put aside their differences and unite in the face of a mysterious and deadly threat."
Damsel,"A young woman, Elodie, meets a handsome prince and they fall in love. At their wedding it is revealed that the prince had more sinister reasons for courting her: she is to be sacrificed to a dragon that has been terrorising the kingdom. Elodie now has to fight for her survival. —grantss"
A Mistaken Surrogate for the Ruthless Billionaire,"Luciana Bridge caught her husband Alex cheating on her just as she was about to tell him the good news that she was pregnant with his baby after artificial insemination. Then, she learned the sperm mix-up that has left her carrying the child of powerful billionaire, David Carlson. Lulu moves into David's mansion to become his secret surrogate and openly fiancée, only to discover that he wants more than just her surrogacy services."
Doctor Odyssey,"Max is the new on-board doctor for a luxury cruise ship where the small but mighty medical team navigate unique medical crises and each other, miles from shore."
Avatar: The Last Airbender,"Set in an Asiatic, war-torn world where certain people can ""bend"" one of the four classical elements: water, earth, fire, or air. Aang is the ""Avatar"", the only one capable of bending all the elements, and is destined to bring peace to the world from the Fire Nation. With his new companions Katara and Sokka, Aang sets out to master the elements while being pursued by the exiled Fire Nation prince Zuko, who seeks to regain his honor by capturing the Avatar."
Mussolini: Son of the Century,Chronicles the rise of power of Italian dictator Benito Mussolini in a history of a country that surrendered to dictatorship.
Territory,"When the world's largest cattle station is left without a clear successor, generational clashes threaten to tear the Lawson family apart. Sensing this once great dynasty is in decline, the outback's most powerful factions rival cattle barons, desert gangsters, Indigenous elders and billionaire miners move in for the kill."
Hisaab Barabar,A railway train ticket collector proficient in accounting discovers that a small amount is pilfered away by the bank from his account. At the cost of personal safety he investigates the fraud and exposes a financial scam of huge proportions. —Madan Marwah
The Outrun,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. She returns to the wild beauty of Scotland's Orkney Islands - where she grew up - hoping to heal. Adapted from the bestselling memoir by Amy Liptrot."
Sunray: Fallen Soldier,"After dedicating his entire life to service in the armed forces Andy now struggles to slot back into a world he no longer recognises. Now forced to confront the death of his daughter following a fatal encounter with drugs he becomes hell-bent on finding those responsible. With nothing to lose, a violent criminal underworld unravels in his wake. Set against a backdrop of realistic, fast-paced action, guided by high-quality military drills; and created by UK Armed Forces veterans. Sunray challenges the perceptions of mental health and the struggles that soldiers face when re-integrating back into civilian life. —James Clarke"
Ghostbusters: Frozen Empire,"After saving the world from an ancient god of destruction in Ghostbusters: Afterlife (2021), Gary and the Spenglers settle into the old fire station in New York, where the original Ghostbusters (1984) began their journey to save the world from paranormal threats. But just when they thought they could enjoy their newfound peace, the team stumbles upon a mysterious object that frees an unstoppable force from the depths of history. As chaos reigns and pure evil plunges the world into darkness, the Ghostbusters must once again step up to save humankind from the brink of doom. With two generations of ghost hunters fighting side by side, the stakes have never been higher. Will they be able to avert the inevitable before everything freezes over? —Nick Riganas"
Mr. & Mrs. Smith,"Two strangers land jobs with a spy agency that offers them a life of espionage, wealth, and travel. The catch: new identities in an arranged marriage."
Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.
Thukra Ke Mera Pyaar,Two families clash over societal and caste differences spurring a saga of revenge. All this happens when a love story goes wrong
Solo Leveling: ReAwakening,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate."
The 8 Show,"8 people in need of money are invited to appear on reality variety show Money Game. The 8 people are to stay at the studio that consists of nothing but concrete walls. If they are able to hang in there for 100 days, they can divide the winning prize of 44.8 billion won equally. But, everything they spend for, including necessities like food, water, electricity, costs 1,000 times more than normal prices and are deducted from the winning prize. —AsianWiki"
The Sticky,"Ruth Landry is a tough middle-aged maple syrup farmer, who turns to crime when the bureaucratic authorities threaten to take away everything she loves. She teams up with a hot-tempered Bostonian mobster, and a mild-mannered French-Canadian security guard to carry out a multi-million dollar heist on Quebec's maple syrup surplus. —brianfabulous"
No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match."
Miller's Girl,"A talented young writer embarks on a creative odyssey when her teacher assigns a project that entangles them both in an increasingly complex web. As lines blur and their lives intertwine, professor and protégé must confront their darkest selves while straining to preserve their individual sense of purpose and the things they hold most dear. —Lionsgate"
Y2K,Two high school nobodies make the decision to crash the last major celebration before the new millennium on New Year's Eve 1999. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.
Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly."
Humane,"In the wake of an environmental collapse that is forcing humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry."
Amaran,"An upright army officer (Sivakarthikeyan) leads a group of soldiers to battle against Pakistan who are hell bent to destroy the peace in Kashmir. In this journey, the protagonist discovers himself and inspires his team by giving them support and strength in this deadly war. —vamsi-68790"
Marvel Rivals,"Marvel Rivals is a Super Hero team-based PVP shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel Universe!"
Knuckles,"A spinoff series that focuses on Knuckles and his journey assisting and training a middle-aged male cop to become better and succeed in life. Along the way, they are both target a secret group who want to steal all of their power and use it for themselves. —RECB3"
A Family Affair,"Zara, who still lives at home with her mother Brooke, works as an assistant to demanding movie star Chris. She must constantly deal with his various whims, and often she is the one who handles things when he breaks up with yet another girlfriend. However, his promises to help her become a producer remain unfulfilled; finally, this drives Zara to quit. In an attempt to get her back, Chris comes to her house where he meets her mother. He becomes fascinated by Brooke, and one thing leads to another, suddenly presenting Zara with new challenges."
Happy's Place,Not_Found
Ted,"In Ted, the series, it's 1993 and Ted's moment of fame has passed, leaving him living with his best friend, 16-year-old John Bennett (Burkholder), who lives in a working-class Boston home with his parents and cousin. Ted might not be the best influence on John, but when it comes right down to it, Ted's willing to go out on a limb to help his friend and his family."
Cruel Intentions,"After a hazing incident at their elite college, step-siblings Caroline and Lucien set about to preserve their power and reputation by seducing the daughter of the Vice President of the United States."
Drive-Away Dolls,"The film follows Jamie, an uninhibited free spirit bemoaning yet another breakup with a girlfriend, and her demure friend Marian who desperately needs to loosen up. In search of a fresh start, the two embark on an impromptu road trip to Tallahassee, but things quickly go awry when they cross paths with a group of inept criminals along the way."
Hysteria!,"When a beloved varsity quarterback disappears during the ""Satanic Panic"" of the late 1980s, a struggling high school heavy metal band of outcasts realize they can capitalize on the town's sudden interest in the occult by building a reputation as a Satanic metal band, until a bizarre series of murders, kidnappings, and reported ""supernatural activity"" triggers a leather-studded witch hunt that leads directly back to them. —Peacock"
Dragon Ball Daima,"Dragon Ball Daima revolves around Goku and his friends, who are turned into children due to a conspiracy. To make things right, they plan to head to a new world. The series is presented as a great Action adventure in an unknown and mysterious place."
X-Men '97,"X-Men '97 continues the story of X-Men (1992). In both series, mutants are individuals born with superhuman abilities that typically manifest during puberty. The X-Men are a team of mutant superheroes founded by Professor Charles Xavier to protect both mutants and humans. At the end of The Animated Series, Xavier nearly dies in an assassination attempt and is taken into space to be healed by the alien Shi'ar Empire. X-Men '97 begins a year later and sees the X-Men facing new challenges without Xavier, under the leadership of their former adversary, Magneto. Like the original series, X-Men '97 combines action, soap opera-style drama, and the exploration of serious topics."
Ludwig,"While seeking to unravel the mystery of his twin brother's disappearance, reclusive puzzle-designer John 'Ludwig' Taylor takes on his twin brother James's identity as DCI on Cambridge's major crimes squad."
Joy,"Spanning from 1968 to 1978, the film will follow three trailblazers facing opposition from the church, state, media and medical establishment, in their pursuit of the world's first 'test tube baby', Louise Joy Brown. The three figures are a young nurse, a visionary scientist and an innovative surgeon, played by Thomasin McKenzie, James Norton and Bill Nighy respectively."
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
Immaculate,"Cecilia, an American nun of devout faith, embarks on a new journey in a remote convent in the picturesque Italian countryside. Cecilia's warm welcome quickly devolves into a nightmare as it becomes clear her new home harbors a sinister secret and unspeakable horrors. —Official synopsis"
Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past."
Sugar,"Private detective John Sugar investigates the disappearance of Olivia, the beloved granddaughter of Hollywood producer Jonathan Siegel. As Sugar tries to determine what happened to Olivia, he unearths Siegel family secrets, old and new."
Common Side Effects,Follows former high school lab mates Marshall and Frances as they unravel a conspiracy involving big pharma and the government to suppress knowledge of a rare fungus secret that may contain the solution to cure all world's diseases.
Mothers' Instinct,Two mothers with school going sons of similar ages are friendly neighbors and are living peaceful lives with their husbands. Their happy lives are soon destroyed due to a tragic event and the two mothers start suspecting the actions of each other. —Madan Marwah
The Forge,"The Forge tells the story of Isaiah Wright, a 19 year old who lives for basketball and video games. A year out of high school, he still has no job, no plans, and no idea how to be a man. At odds with his single mom, Cynthia, Isaiah is given an ultimatum - to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, but has no idea how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life."
The Life of Chuck,"A life-affirming, genre-bending story based on Stephen King's novella about three chapters in the life of an ordinary man named Charles Krantz."
Those About to Die,"The series explores another side of Rome - the dirty business of entertaining the masses, giving the mob what they want most - blood and sport."
Interior Chinatown,"Willis Wu is a background character in a procedural cop show called Black and White. Relegated to the background, Willis goes through the motions of his on-screen job, waiting tables and dreaming about a whole world beyond Chinatown. When he inadvertently becomes a witness to a crime, Willis begins to unravel a criminal web in Chinatown, and in the process discovers what it feels like to be in the spotlight."
How to Make Millions Before Grandma Dies,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money."
Maharaja,A simple and soft spoken barber in a small town reports the theft of Lakshmi ( his dustbin) to the police. Initially they are angry and amused and take it lightly but when he keeps insisting they start an investigation which throws up a number of suspects. Things however are not what they seem and the probe gets more and more complicated over time. —Madan Marwah
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her."
The Children's Train,"1946. Amerigo is seven years old and has never left Naples and his mother Antonietta. His world, made up of streets and poverty, however, is about to change. On board one of the ""trains of happiness"" he will spend the winter in the north, where a young woman, Derna, will welcome him and take care of him. Next to her Amerigo acquires an awareness that leads him to a painful choice that will change her life forever. It will take him many years to discover the truth: those who love you don't hold you back, but they let you go."
Salem's Lot,"Ben Mears, a writer who spent part of his childhood in Jerusalem's Lot, Maine, also known as 'Salem's Lot, has returned after 25 years to write a book about the long-abandoned Marsten House, where he had a bad experience as a child. He soon discovers that an ancient evil has also come to town and is turning the residents into vampires. He vows to stop the plague of undead and save the town."
Riff Raff,"A former criminal's ordinary life, which is turned upside down when his old family shows up for a long-awaited reunion."
The Intruder,"A young, paranoid man begins to believe someone is breaking into his house every night."
Uglies,"In a future post scarcity dystopian world in which everyone is considered an ""ugly,"" but then turned ""Pretty"" by extreme cosmetic surgery when they reach the age of 16. It tells the story of teenager Tally Youngblood who rebels against society's enforced conformity. —lsidney-419-843438"
Reagan,"From dusty small-town roots, to the glitter of Hollywood, and then on to commanding the world stage, REAGAN is a cinematic journey of overcoming the odds. Told through the voice of Viktor Petrovich, a former KGB agent whose life becomes inextricably linked with Ronald Reagan's when Reagan first caught the Soviets' attention as an actor in Hollywood, this film offers a perspective as unique as it is captivating. Dennis Quaid brings to life a story that transcends the boundaries of a traditional biopic, offering a profound exploration of the enduring impact of the power of one man who overcame the odds, sustained by the love of a woman who supported him in his journey."
Grotesquerie,"A detective and a nun investigate a series of heinous crimes that seem personal, while grappling with personal issues and uncovering a sinister web that raises more questions than answers."
Kaiju No. 8,"In Japan, monsters known as kaiju regularly attack the populace with the Japanese Defense Force tasked with killing them. After their town was destroyed by kaiju when they were children, childhood friends Kafka Hibino and Mina Ashiro both vowed to become members of the Defense Force. Mina has become famous as commander of the Defense Force's Third Unit, but Kafka has failed the examination numerous times and is a member of the clean up crew, Monster Sweeper Inc., whose job is to dispose of the monsters' dead bodies after battle. After a small talking monster flies into his body via his mouth, Kafka gains the ability to turn into a monster himself, which gets dubbed ""Kaiju No. 8"" by the Defense Force. Kafka remains fully cognizant while in the form, but gains superhuman strength, and becomes the first monster to escape the Defense Force. With newfound resolve, Kafka decides he wants to fight by Mina's side and finally joins the Defence Force while also keeping his new abilities a secret."
Dìdi,"A 13-year-old Taiwanese American boy named Chris as he navigates the summer before high school. He grapples with his cultural identity, experiences the joys and awkwardness of first love, and strengthens his bonds with friends while navigating the complexities of his relationship with his hardworking, single mother. Through skateboarding, online interactions, and everyday experiences, Chris begins to understand himself and his place in the world better. This coming-of-age story explores themes of family, identity, and self-discovery. —Adrian Serpa"
Hellboy: The Crooked Man,"Introduce parapsychologist Bobbie Jo Song, who is tasked with delivering a spider to the BPRD but must seek Hellboy's help when things go awry. Together, they travel to Appalachia to take on the Crooked Man, who has been sent back to Earth to collect souls for the devil."
Cunk on Life,"Philomena Cunk delves into life's profound questions, examining subjects from the big bang to AI, meeting academics and creatives, all with her trademark misguided observations."
Queen of Tears,A miraculous love story of a married couple overcoming a dizzying crisis.
A Thousand Blows,"Follows Hezekiah and Alec, two best friends from Jamaica who find themselves thrust into the vibrant and violent melting pot of post-industrial revolution London's East End. Drawn into the criminal underbelly of the thriving boxing scene, Hezekiah meets Mary Carr, leader of The Forty Elephants the notorious all-female London gang as they battle for survival on the streets. As Hezekiah sharpens his new skills, he comes up against Sugar Goodson, a seasoned and dangerous boxer, and the two are soon locked into an intense rivalry that spills out way beyond the ring."
Senna,"Fictional miniseries based on the life of Ayrton Senna da Silva, the Brazilian racing legend who won the Formula One World Drivers' Championship three times."
The Prosecutor,"A young man is charged with drug trafficking, and he pleads guilty under influence from his defense lawyer in exchange for a reduced sentence. Former cop Fok (Donnie Yen) is an unconventional prosecutor assigned to the case. Fok is convinced that the conviction is unusual and decides to conduct his own investigation. What unfolds is a matter of his own life and career at stake as he goes a dangerous path to uncover the truth, and bringing the real villains to justice. Where the law ends, his justice begins. —Tony MD"
Apartment 7A,"An ambitious young dancer, Terry Gionoffrio, dreams of fame and fortune in New York City. But, after suffering a devastating injury, an older, wealthy couple welcomes her into their home in the luxury apartment building, the Bramford. When fellow resident and influential Broadway producer offers her another chance at fame, it seems that all her dreams are finally coming true. However, after an evening she can't fully remember, disturbing circumstances soon have her second-guessing the sacrifices she's willing to make for her career. She soon realizes that something evil is living not only in Apartment 7A, but in the Bramford itself. —Paramount+"
Sleeping Dogs,"In this gripping crime thriller, Russell Crowe stars as Roy Freeman, an ex-homicide detective with a fractured memory, forced to revisit a case he can't remember. As a man's life hangs in the balance on death row, Freeman must piece together the brutal evidence from a decade-old murder investigation, uncovering a sinister web of buried secrets and betrayals linking to his past. With only instincts to trust, he faces a chilling truth - sometimes, it's best to let sleeping dogs lie."
The First Omen,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate. —20th Century Studios"
Slingshot,"While traveling on board of the spaceship Odyssey1 to Titan, the astronaut John awakens from the three-month- hibernation cycle to perform tests on the systems. Together with him, are Captain Franks and Nash to test the systems and communicate with Houston. The computer system warns that disorientation is normal after the hibernation since the used drug has side effects. John forgets the last name of his girlfriend Zoe Morgan and when he sleeps again for the next cycle, he recalls how the leader of the mission, Sam Napier, introduced the engineer Zoe Morgan to him and how they became lovers. When John awakes again, a panel on the ceiling hits his head and after the inspection, they realize a structural damage on the hull, but the computer has not recorded any collision along their journey. Nash becomes paranoid with a possible structural failure and what might happen to them after the slingshot maneuver in Jupiter that will increase their speed to Titan and tries to convince John to change the course of Odyssey 1 back to Earth. However, Capt. Franks overhears their conversation and together with John, successfully performs the slingshot maneuver. They hibernate again and one the next awakening, Nash seems to be completely hallucinated and has sabotaged the reactor using John's password. When John sleeps again, he sees Capt. Franks apparently killing Nash. When he awakes, he asks for Nash and Capt. Franks carries a pistol everywhere. Now John becomes paranoid and when Capt. Franks tells who Zoe is, John questions his sanity and whether the Captain and Nash are real."
The Jetty,Follows Det. Ember Manning as she must figure out how a fire at a vacation home is connected to a podcast journalist investigating a missing person's cold case and an illicit love triangle between a man in his 20s and two underage girls.
A Good Girl's Guide to Murder,"Pretty and popular high school senior Andie Bell was murdered by her boyfriend, Sal Singh, who then killed himself. It was all anyone could talk about. And five years later, Pip sees how the tragedy still haunts her town. But she can't shake the feeling that there was more to what happened that day."
Lift,"Cyrus, an international thief and his crew specialize in stealing extremely costly art pieces and resort to kidnapping if necessary. Cyrus's ex girlfriend Abby, an Interpol agent convinces him to steal a huge consignment of gold being sent by plane from London to Zurich in return for immunity from arrest . Cyrus knows this is an almost impossible task but decides to go ahead since it means freedom for him and his crew not to speak of his getting together with Abby again. —Madan Marwah"
Weekend in Taipei,"Years ago, committed DEA agent John Lawlor fell in love with Joey Kwang, a Taipei-based transport driver working in the criminal underworld, but was forced to flee due to tragic circumstances. Now, the duo reunites when Lawlor blows his cover as a chef and takes an off-the-books weekend mission to Taipei to bring down a billionaire drug kingpin... who just so happens to be Joey's new husband. From the creators of Taken and The Transporter, WEEKEND IN TAIPEI hits theaters this November 8th. —Ketchup Entertainment"
Young Hearts,"Elias (14) feels attracted to his new neighbour Alexander (14). Soon he realizes that he's truly in love for the first time. The interactions with his friends and family bring more questions than answers. Confused by his burgeoning feelings, Elias tries to sort out his inner chaos to prove that he is worth Alexander's heart."
Killer Heat,"A detective is called in to investigate the death of a rock climber after the family suspects foul play. As the investigation progresses, the detective gets caught in a dangerous love triangle and must uncover a tangled web of passion and betrayal that complicates the search for the sinister truth. Nothing--and no one--is as they seem in this romantic thriller. —Madan Marwah"
The Instigators,"Rory (Matt Damon) and Cobby (Casey Affleck), who team up to rob a corrupt politician but end up in a chaotic escape after the heist goes wrong. Pursued by police and crime bosses, they enlist Rory's therapist (Hong Chau) to help them survive. —Oscar Serpa"
Poppa's House,"Follow happily-divorced talk-radio host Poppa as a new female co-host challenges him at work, and at home he's still parenting his adult son, who tries to pursue his passion while being a good father and husband."
I Want to Talk,A middle aged man's peaceful life goes topsy- turvy when he is diagnosed with a serious life threatening disease. This sudden development changes his perspective towards life and over time brings warmth in his relationship with his teen aged daughter. —Madan Marwah
Sidelined: The QB and Me,"Impassioned by the art of dance and driven by its means to help her escape a sleepy small town, high school cheerleader DALLAS BRYAN is intent on receiving a coveted dance scholarship to CalArts, and nothing - or no one - is going to stand in her way. That is, until star high school quarterback DRAYTON LAHEY crashes (literally) into her life."
Sight Unseen,"Former homicide detective Tess Avery, diagnosed as blind, teams up with Sunny Patel, a remote seeing-eye guide and agoraphobe, to bring down killers who elude the police in this high-stakes detective thriller."
Mean Girls,"From the comedic mind of Tina Fey comes a new twist on the modern classic, MEAN GIRLS. New student Cady Heron (Angourie Rice) is welcomed into the top of the social food chain by the elite group of popular girls called ""The Plastics,"" ruled by the conniving queen bee Regina George (Reneé Rapp) and her minions Gretchen (Bebe Wood) and Karen (Avantika). However, when Cady makes the major misstep of falling for Regina's ex-boyfriend Aaron Samuels (Christopher Briney), she finds herself prey in Regina's crosshairs. As Cady sets to take down the group's apex predator with the help of her outcast friends Janis (Auli'i Cravalho) and Damian (Jaquel Spivey), she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school. —Paramount Pictures"
Light Shop,"A group of strangers, each struggling to come to terms with a traumatic event in their past. Going about their daily lives, each individual is mysteriously drawn to a light shop that sits at the end of a seedy alleyway. Guarded by a vigilant shopkeeper, the light shop could hold the key to the strangers' pasts, presents and futures."
Maxton Hall: The World Between Us,"Quick-witted scholarship student Ruby unwittingly witnesses a secret at Maxton Hall. Arrogant millionaire heir James is determined to silence her, but their clash ignites an unexpected spark between them."
The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple (Madelaine Petsch and Froy Gutierrez) are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive in THE STRANGERS: CHAPTER 1, the chilling first entry of this upcoming horror feature film series. —Lionsgate Entertainment"
An Update on Our Family,An exploration of the complex world of family vlogging through the lens of one family's story and the sudden online disappearance of their adopted son.
Sookshma Darshini,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister."
Bandidos,"Follow Miguel and his accomplice Lilí, who are attempting to retrieve a treasure from an underwater shipwreck of a Spanish galleon that sank during the War of Independence on the Atlantic coast of Mexico. The pair must ask for the assistance of a group of bandits to accomplish the underwater heist but they later find out they are not the only ones after the forgotten treasure."
Standing on the Shoulders of Kitties,"Bubbles' band ""The Shitrockers"" lands a European tour but gets kicked off, forcing them to busk. Randy is their roadie. Can Ricky and Julian save them from the streets of Prague?"
Exhuma,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.
Before,"After tragically losing his wife to suicide, child psychiatrist Eli Adler encounters a troubled young boy who seems to have a haunting connection to Eli's past."
Vermiglio,"1944. In Vermiglio, a mountain village where the war is a distant but omnipresent horizon, the arrival of Pietro, a soldier escaping the war, disrupts the dynamics of the local schoolmaster's large family, changing them forever. The love between Pietro and Lucia, the eldest daughter, leads to their marriage and an unexpected destiny."
Aftermath,"A returning war veteran, stricken with PTSD, unwittingly gets trapped with his teenage sister on Boston's Tobin Memorial Bridge as a heavily weaponized group of ex-military revolutionists take everyone hostage."
Bodkin,"A group of podcasters sets out to investigate the mysterious disappearance of three strangers in an idyllic Irish town. But when they start to pull the strings, they find a story much bigger and stranger than they expected."
Spaceman,"An intergalactic odyssey of love, ambition, and self-discovery. Orphaned as a boy, raised in the Czech countryside by his doting grandparents, Jakub Procházka has risen from small-time scientist to become the country's first astronaut. When a dangerous solo mission to Jupiter offers him both the chance at heroism he's dreamt of and a way to atone for his father's sins as a Communist informer, he ventures boldly into the vast unknown. But in so doing, he leaves behind his devoted wife, Lenka, whose love, he realizes too late, he has sacrificed on the altar of his ambitions. Alone in Deep Space, Jakub discovers a possibly imaginary giant alien spider, who becomes his unlikely companion. Over philosophical conversations about the nature of love, life and death, and the deliciousness of hazelnut spread, the pair form an intense and emotional bond. —Bluewater"
Back to Black,"A celebration of the most iconic - and much missed - homegrown star of the 21st century, BACK TO BLACK tells the extraordinary tale of Amy Winehouse. Painting a vivid, vibrant picture of the Camden streets she called home and capturing the struggles of global fame, BACK TO BLACK honours Amy's artistry, wit, and honesty, as well as trying to understand her demons. An unflinching look at the modern celebrity machine and a powerful tribute to a once-in-a-generation talent. —STUDIOCANAL"
Sugarcane,An investigation into abuse and missing children at an Indian residential school sparks a reckoning on the nearby Sugarcane Reserve.
Griselda,"Griselda chronicles the real life of savvy and ambitious Colombian business woman, Griselda Blanco, who created one of the most profitable cartels in history. A devoted mother, Blanco's lethal blend of charm and unsuspecting savagery helped her expertly navigate between family and business leading her to become widely known as the ""Black Widow""."
Night Call,"This night is like all the others for Mady, student by day, locksmith by night. But Claire, the enigmatic young girl he helps out that night, is not who she claims to be. Mady has only one night to prove his innocence in a city in turmoil."
My Lady Jane,"When her ambitious mother sells Jane's hand to the highest bidder, Jane is dismayed to discover that her dreaded husband-to-be, Guildford Dudley, is an infuriatingly attractive stranger with a dark secret; one that has the potential to get them both killed. Not to mention the fact that there are greater conspiracies afoot, like a plot to murder her cousin, King Edward, and throw the entire kingdom into chaos. A sharp-tongued, warm-hearted story full of romance, adventure, and fantasy, My Lady Jane reveals that true love is real, people are not always what they seem, and even doomed heroines can save themselves. —brianfabulous"
Tabaah,Revolves around the love and turmoil between our two protagonists. The journey of these characters is marked by such unfortunate twists and events that make it a tragic love story.
A Gentleman in Moscow,"Count Alexander Rostov. When, in 1922, he is deemed an unrepentant aristocrat by a Bolshevik tribunal, the count is sentenced to house arrest in the Metropol, a grand hotel across the street from the Kremlin. Rostov, an indomitable man of erudition and wit, has never worked a day in his life, and must now live in an attic room while some of the most tumultuous decades in Russian history are unfolding outside the hotel's doors. Unexpectedly, his reduced circumstances provide him a doorway into a much larger world of emotional discovery."
Rifle Club,A historic rifle club faces a vengeful arms dealer's gang in the Western Ghats. Skilled hunters fight to survive and protect their legacy.
Damaged,Chicago detective Dan Lawson travels to Scotland to link up with Scottish detective Glen Boyd following the resurgence of a serial killer whose crimes match an unsolved case he investigated 5 years previously.
Under the Bridge,Fourteen-year-old Reena Virk went to join friends at a party and never returned home. Seven teenage girls and a boy were accused of the savage murder.
Dirty Angels,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.
Love Island: All Stars,"The legendary Islanders return for a second shot at romance. Bombshells disrupt established couples, turning heads and breaking hearts."
Brothers,"Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction."
Wizards Beyond Waverly Place,"Justin embraces mortality to live with his family. His new challenge arises when Alex introduces Billie, a wizard-in-training, seeking Justin's mentorship."
Beverly Hills Cop: Axel F,"Detective Axel Foley is up to his usual tricks in Detroit when Billy Rosewood, an LA private detective and long-time friend, contacts him for help. Foley's daughter, Jane Saunders, is a lawyer involved in a high-profile case and has been threatened. Foley sets off for Los Angeles, renewing many acquaintances and finding himself in the middle of a sinister conspiracy. —grantss"
Homestead: The Series,Follows a family as they try to survive after a world-ending tragedy.
Will & Harper,"In this intimate portrayal of friendship, transition and America, Will Ferrell and his close friend of thirty years decide to go on a cross-country road trip to explore a new chapter in their relationship."
English Teacher,"It follows Evan, a gay high school English teacher, and his coworkers as they try to balance the demands of the students and their parents."
The Thicket,"When fierce bounty hunter Reginald Jones (Peter Dinklage) is recruited by a desperate man to track down a ruthless killer known only as Cutthroat Bill (Juliette Lewis), he rallies a band of unlikely heroes including a grave-digging ex-slave and a street-smart woman-for-hire. Together they embark on a perilous quest to track down Cutthroat Bill that leads them into the deadly ""no-man's-land"" known as... The Thicket."
MadS,"On a quiet August evening, moneyed teenager Romain stops by his dealer's house before heading out for a night of hard partying. Instead, he runs into a mysterious woman trying to make a getaway. And just like that, things went sideways. As the powerful substance in his system kicks in, Romain struggles to process what is happening, only to descend deeper into a chaotic haze. But what was in that pill? Is Romain having a bad trip, or are his vivid hallucinations signalling something more ominous? Either way, one thing is clear: this horrifying experience is just the beginning of a long, brutal night filled with blood and terror. —Nick Riganas"
